Reference, Quantity, Value, Footprint, Datasheet
A1 A2 A3 A4 A5 ,5,"Pololu_Breakout_A4988","Modules:Pololu_Breakout-16_15.2x20.3mm",""
C1 C2 C3 ,3,"10nF","Capacitors_SMD:C_0805",""
C13 ,1,"10uF 16V (X5R/X7R)","Capacitors_SMD:C_0805",""
C7 C12 C14 C41 C43 C44 C45 C46 C47 C48 C52 C53 C56 ,13,"100nF","Capacitors_SMD:C_0805",""
C15 C16 C17 C18 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 C34 C35 ,20,"1nF","Capacitors_SMD:C_0805",""
C5 C19 C36 C37 C38 C39 ,6,"100uF 35V","Capacitors_SMD:CP_Elec_6.3x5.8","https://www.elfa.se/en/aluminium-electrolytic-capacitor-100-uf-35-vdc-panasonic-industry-europe-eeeft1v101ap/p/16725306"
C4 C6 ,2,"1uF 16V X7R/X5R","Capacitors_SMD:C_0805","~"
C49 ,1,"10uF","Capacitors_SMD:C_0805",""
C50 C51 ,2,"1uF","Capacitors_SMD:C_0805",""
C54 C55 ,2,"20pF","Capacitors_SMD:C_0805",""
C8 ,1,"10uF 35V (X5R/X7R)","Capacitors_SMD:C_0805",""
C9 C10 C11 C40 C42 ,5,"2.2uF","Capacitors_SMD:C_0805",""
D1 ,1,"BAT60J","Diodes_SMD:D_SMA",""
D2 D3 D4 D5 D7 ,5,"LED","LEDs:LED_0805",""
D6 D10 D11 ,3,"1N4148WS","Diodes_SMD:D_SOD-323",""
D8 ,1,"B140-13-F","Diodes_SMD:D_SMA","~"
EXP1 EXP2 ,2,"Conn_02x05_Odd_Even","Pin_Headers:Pin_Header_Straight_2x05_Pitch2.54mm",""
EXP3 ,1,"Conn_02x10_Odd_Even","Pin_Headers:Pin_Header_Straight_2x10_Pitch2.54mm",""
F1 F2 ,2,"3557-2","Footprints:KEYSTONE-FUSE-3557-2","https://www.digikey.se/product-detail/en/keystone-electronics/3557-2/36-3557-2-ND/2137305"
FAN1 TEMP1 FIL_DET1 FAN2 TEMP2 FAN3 TEMP3 ,7,"Conn_01x02","Connectors_Molex:Molex_KK-6410-02_02x2.54mm_Straight",""
I2C1 ,1,"Conn_01x04","Pin_Headers:Pin_Header_Straight_2x02_Pitch2.54mm","~"
J1 ,1,"Conn_01x06","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS1.5-6pol",""
J2 ,1,"Conn_01x04","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS1.5-4pol",""
PS_ON1 J3 J4 J5 ,4,"Conn_01x03","Connectors_Molex:Molex_KK-6410-03_03x2.54mm_Straight",""
J6 ,1,"USB_B","Connectors:USB_B",""
J7 ,1,"Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
JP1 ,1,"USB-VCC","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP10 ,1,"E0-MISO","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP11 ,1,"E0-MOSI","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP12 ,1,"E0-SCK","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP13 ,1,"E0-CS","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP14 ,1,"X-MISO","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP15 ,1,"X-MOSI","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP16 ,1,"X-SCK","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP17 ,1,"X-CS","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP18 ,1,"Y-MISO","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP19 ,1,"Y-MOSI","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP2 ,1,"E1-MISO","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP20 ,1,"Y-SCK","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP21 ,1,"Y-CS","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP22 ,1,"Z-MISO","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP23 ,1,"Z-MOSI","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP24 ,1,"Z-SCK","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP25 ,1,"Z-CS","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP26 ,1,"E0-CFG0","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm",""
